epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,22383.7,0.4757,0.39487,1.01175,0.96236,0.94972,0.97764,0.93182,0.32698,0.29059,0.86698,0.000491969,0.000491969,0.000491969
131,22536.8,0.46216,0.44175,0.98648,0.97139,0.97405,0.98631,0.93499,0.33441,0.28124,0.87075,0.000490937,0.000490937,0.000490937
132,22689.3,0.45102,0.38871,0.9608,0.98448,0.96186,0.99317,0.94281,0.34027,0.26653,0.87523,0.000489906,0.000489906,0.000489906
133,22843.6,0.45607,0.4043,0.97331,0.99149,0.98904,0.995,0.94586,0.34167,0.25035,0.87484,0.000488875,0.000488875,0.000488875
134,22999.1,0.45721,0.3816,0.97255,0.98715,0.98485,0.99375,0.95021,0.34108,0.25401,0.86918,0.000487844,0.000487844,0.000487844
135,23148.2,0.49654,0.42809,1.00689,0.98111,0.98789,0.995,0.95136,0.32196,0.24446,0.8579,0.000486812,0.000486812,0.000486812
136,23300.3,0.44036,0.3954,0.97155,0.98802,0.96754,0.97665,0.93686,0.3396,0.31367,0.85961,0.000485781,0.000485781,0.000485781
137,23450,0.52305,0.40664,1.03871,0.98708,0.97646,0.97692,0.93491,0.32058,0.27632,0.8549,0.00048475,0.00048475,0.00048475
138,23599,0.48652,0.4309,1.00368,0.99223,1,0.995,0.94586,0.33503,0.23872,0.86408,0.000483719,0.000483719,0.000483719
139,23749.7,0.47712,0.43579,0.99198,0.99092,1,0.995,0.94474,0.33928,0.23848,0.87073,0.000482687,0.000482687,0.000482687
140,23898.4,0.4459,0.36984,1.00054,0.99133,1,0.995,0.95277,0.3326,0.21399,0.86236,0.000481656,0.000481656,0.000481656
141,24046.2,0.46856,0.37763,0.96123,0.99284,1,0.995,0.96751,0.31079,0.21471,0.85201,0.000480625,0.000480625,0.000480625
142,24193.9,0.44953,0.44743,0.95598,0.99282,1,0.995,0.962,0.30876,0.20872,0.85316,0.000479594,0.000479594,0.000479594
143,24341.4,0.45959,0.39468,0.98507,0.98937,1,0.995,0.95293,0.31408,0.2229,0.86508,0.000478562,0.000478562,0.000478562
144,24489.4,0.4529,0.38229,0.97495,0.98261,1,0.995,0.9574,0.31463,0.22352,0.86282,0.000477531,0.000477531,0.000477531
145,24637.5,0.44724,0.36875,0.98751,0.99059,1,0.995,0.95051,0.33133,0.22493,0.86631,0.0004765,0.0004765,0.0004765
146,24786.7,0.58475,0.5629,1.12827,0.99068,0.99592,0.995,0.94317,0.34961,0.24238,0.87196,0.000475469,0.000475469,0.000475469
147,24934.4,0.50576,0.41716,0.99455,0.98391,0.98456,0.995,0.94509,0.33332,0.25153,0.87053,0.000474437,0.000474437,0.000474437
148,25087.8,0.43094,0.35515,0.94703,0.9857,0.98362,0.995,0.94847,0.37022,0.25341,0.88107,0.000473406,0.000473406,0.000473406
149,25235.7,0.51334,0.45375,1.01983,0.97547,0.98349,0.995,0.94869,0.33508,0.27043,0.86801,0.000472375,0.000472375,0.000472375
150,25385.2,0.43278,0.60185,0.91885,0.98517,0.96778,0.99317,0.93564,0.36848,0.27029,0.88722,0.000471344,0.000471344,0.000471344
151,25536.7,0.5547,0.45923,1.04938,0.97554,0.98803,0.995,0.95061,0.36477,0.25235,0.88399,0.000470312,0.000470312,0.000470312
152,25684.8,0.44926,0.38186,0.97491,0.97039,0.9727,0.99375,0.96112,0.31055,0.2406,0.85801,0.000469281,0.000469281,0.000469281
153,25835.9,0.43026,0.38666,0.95748,0.95598,0.96004,0.98604,0.96068,0.30886,0.28642,0.85657,0.00046825,0.00046825,0.00046825
154,25985.6,0.48901,0.42369,1.0055,0.9736,0.95674,0.995,0.95701,0.3469,0.30448,0.86478,0.000467219,0.000467219,0.000467219
155,26135.1,0.44043,0.40633,0.99342,0.97486,0.9806,0.995,0.9476,0.3383,0.27032,0.87007,0.000466188,0.000466188,0.000466188
156,26283.4,0.43886,0.64467,0.98497,0.97952,0.97821,0.995,0.95143,0.3242,0.25857,0.86666,0.000465156,0.000465156,0.000465156
157,26432.8,0.45745,0.38105,0.98447,0.95844,0.98072,0.99281,0.94895,0.31638,0.30457,0.86161,0.000464125,0.000464125,0.000464125
158,26585.5,0.43049,0.36959,0.9814,0.98872,0.97964,0.995,0.95976,0.31671,0.25237,0.85829,0.000463094,0.000463094,0.000463094
159,26732.3,0.41932,0.35611,0.97106,0.98796,0.97849,0.995,0.9561,0.33972,0.24391,0.86563,0.000462063,0.000462063,0.000462063
160,26878.6,0.51366,0.4702,1.02712,0.97257,0.99478,0.995,0.95886,0.30974,0.23384,0.85818,0.000461031,0.000461031,0.000461031
161,27026.4,0.4286,0.36113,0.9643,0.98147,1,0.995,0.96164,0.31093,0.21342,0.86005,0.00046,0.00046,0.00046
162,27176,0.47153,0.37022,0.95637,0.97342,0.98075,0.995,0.9596,0.30352,0.2252,0.86049,0.000458969,0.000458969,0.000458969
163,27324.2,0.46497,0.37991,0.96923,0.9747,0.97858,0.995,0.95695,0.30779,0.22718,0.85695,0.000457938,0.000457938,0.000457938
164,27472.6,0.43566,0.46353,0.97506,0.99138,1,0.995,0.96681,0.31026,0.21954,0.8562,0.000456906,0.000456906,0.000456906
165,27620.2,0.54991,0.57347,1.06424,0.99318,1,0.995,0.96009,0.3077,0.21795,0.85326,0.000455875,0.000455875,0.000455875
166,27768.2,0.46935,0.45824,1.00428,0.99333,1,0.995,0.95745,0.31357,0.20921,0.85494,0.000454844,0.000454844,0.000454844
167,27918.1,0.57467,0.45442,1.11883,0.99177,1,0.995,0.94081,0.32257,0.21855,0.85887,0.000453813,0.000453813,0.000453813
168,28066.5,0.45387,0.40778,0.9799,0.99178,1,0.995,0.95135,0.33709,0.20989,0.86064,0.000452781,0.000452781,0.000452781
169,28214.7,0.43986,0.393,0.9761,0.99025,0.99797,0.995,0.9638,0.31631,0.20695,0.85697,0.00045175,0.00045175,0.00045175
170,28363.1,0.40919,0.32437,0.95066,0.98859,0.99713,0.995,0.95911,0.32844,0.22191,0.86759,0.000450719,0.000450719,0.000450719
171,28511.1,0.43448,0.41274,0.92175,0.98166,1,0.995,0.95759,0.33888,0.22173,0.86619,0.000449688,0.000449688,0.000449688
172,28659.2,0.48055,0.43707,0.97173,0.98889,0.99546,0.995,0.94009,0.32309,0.22895,0.86045,0.000448656,0.000448656,0.000448656
173,28806.6,0.46317,0.39004,0.98171,0.98686,0.98894,0.995,0.95448,0.31806,0.22296,0.85959,0.000447625,0.000447625,0.000447625
174,28954.5,0.46069,0.36828,0.98087,0.99033,1,0.995,0.93666,0.36098,0.22665,0.87315,0.000446594,0.000446594,0.000446594
175,29102,0.49832,0.37576,1.02046,0.99254,1,0.995,0.95133,0.31764,0.20382,0.8587,0.000445562,0.000445562,0.000445562
176,29249.5,0.42767,0.33652,0.97909,0.99128,0.99542,0.995,0.94777,0.31678,0.20941,0.8619,0.000444531,0.000444531,0.000444531
177,29397.1,0.39904,0.33583,0.89354,0.98689,0.98348,0.995,0.95518,0.33767,0.21899,0.86714,0.0004435,0.0004435,0.0004435
178,29544.9,0.44238,0.35564,0.96368,0.99003,0.99818,0.995,0.96299,0.31934,0.19911,0.86148,0.000442469,0.000442469,0.000442469
179,29694.5,0.44382,0.37727,0.94722,0.99184,1,0.995,0.95831,0.31905,0.20018,0.864,0.000441438,0.000441438,0.000441438
180,29849.7,0.40917,0.36384,0.95926,0.99021,1,0.995,0.95472,0.34357,0.21226,0.87141,0.000440406,0.000440406,0.000440406
